song_slug,era_label,n,pct_ge_10,pct_ge_15,pct_ge_20,median_duration,median_position
blue-bossa,1.0 (1983–2000),2.0,0.0,0.0,0.0,435.187,16.0
blue-monk,1.0 (1983–2000),3.0,0.0,0.0,0.0,284.00350000000003,8.0
blue-moon,3.0 (2009–2020),1.0,0.0,0.0,0.0,234.214,29.0
blue-skies,2.0 (2003–2004),1.0,0.0,0.0,0.0,179.696,5.0
blue-sky,1.0 (1983–2000),1.0,0.0,0.0,0.0,221.858,10.0
bobby-jean,3.0 (2009–2020),1.0,0.0,0.0,0.0,284.056,13.0
bohemian-rhapsody,1.0 (1983–2000),1.0,0.0,0.0,0.0,347.429,25.0
bohemian-rhapsody,4.0 (2021–present),1.0,0.0,0.0,0.0,299.16,20.0
bold-as-love,1.0 (1983–2000),67.0,0.029850746268656716,0.0,0.0,361.064,17.0
bold-as-love,3.0 (2009–2020),15.0,0.0,0.0,0.0,351.687,18.0
bold-as-love,4.0 (2021–present),3.0,0.0,0.0,0.0,368.424,16.0
boogie-on-reggae-woman,1.0 (1983–2000),24.0,0.125,0.041666666666666664,0.041666666666666664,377.6,9.5
boogie-on-reggae-woman,2.0 (2003–2004),9.0,0.1111111111111111,0.0,0.0,378.906,6.0
boogie-on-reggae-woman,3.0 (2009–2020),50.0,0.1,0.02,0.0,381.29650000000004,16.0
boogie-on-reggae-woman,4.0 (2021–present),11.0,0.09090909090909091,0.09090909090909091,0.0,338.782,11.0
boogie-on-reggae-woman,Other/Hiatus,1.0,0.0,0.0,0.0,377.2475,2.0
born-to-run,1.0 (1983–2000),1.0,0.0,0.0,0.0,372.245,18.0
born-under-punches-the-heat-goes-on,1.0 (1983–2000),1.0,0.0,0.0,0.0,419.448,11.0
bouncing-around-the-room,1.0 (1983–2000),393.0,0.02544529262086514,0.010178117048346057,0.002544529262086514,225.11,7.0
bouncing-around-the-room,2.0 (2003–2004),8.0,0.0,0.0,0.0,228.062,7.5
bouncing-around-the-room,3.0 (2009–2020),68.0,0.029411764705882353,0.0,0.0,228.84550000000002,9.0
bouncing-around-the-room,4.0 (2021–present),24.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,221.51999999999998,6.0
box-of-rain,4.0 (2021–present),1.0,0.0,0.0,0.0,335.073,1.0
brain-damage,1.0 (1983–2000),1.0,0.0,0.0,0.0,102.687,22.0
breath-and-burning,3.0 (2009–2020),17.0,0.058823529411764705,0.0,0.0,356.284,3.0
breath-and-burning,4.0 (2021–present),1.0,0.0,0.0,0.0,550.776,2.0
breathe,1.0 (1983–2000),2.0,0.0,0.0,0.0,318.315,15.0
brian-and-robert,1.0 (1983–2000),27.0,0.1111111111111111,0.0,0.0,257.75,13.0
brian-and-robert,2.0 (2003–2004),3.0,0.0,0.0,0.0,249.792,8.0
brian-and-robert,3.0 (2009–2020),18.0,0.0,0.0,0.0,233.76999999999998,6.0
brian-and-robert,4.0 (2021–present),5.0,0.0,0.0,0.0,205.992,6.0
bring-it-on-home,1.0 (1983–2000),1.0,0.0,0.0,0.0,407.615,10.0
broken-heart-attack,4.0 (2021–present),1.0,0.0,0.0,0.0,139.32,16.0
broken-into-pieces,4.0 (2021–present),2.0,0.0,0.0,0.0,358.022,6.0
brother,1.0 (1983–2000),51.0,0.0196078431372549,0.0,0.0,340.245,10.0
brother,2.0 (2003–2004),2.0,0.0,0.0,0.0,421.22450000000003,13.0
brother,3.0 (2009–2020),6.0,0.0,0.0,0.0,362.057,1.5
brother,4.0 (2021–present),1.0,0.0,0.0,0.0,477.168,19.0
brown-eyed-girl,1.0 (1983–2000),1.0,0.0,0.0,0.0,293.669,22.0
buffalo-bill,1.0 (1983–2000),8.0,0.0,0.0,0.0,229.198,17.5
buffalo-bill,2.0 (2003–2004),3.0,0.0,0.0,0.0,147.278,12.0
buffalo-bill,3.0 (2009–2020),9.0,0.0,0.0,0.0,139.677,11.0
buffalo-bill,4.0 (2021–present),3.0,0.0,0.0,0.0,159.425,20.0
bug,1.0 (1983–2000),27.0,0.37037037037037035,0.0,0.0,574.015,12.0
bug,2.0 (2003–2004),9.0,0.2222222222222222,0.0,0.0,534.361,14.0
bug,3.0 (2009–2020),44.0,0.0,0.0,0.0,442.0835,18.5
bug,4.0 (2021–present),20.0,0.1,0.0,0.0,419.304,16.0
bundle-of-joy,1.0 (1983–2000),10.0,0.2,0.1,0.0,138.9845,15.0
buried-alive,1.0 (1983–2000),141.0,0.028368794326241134,0.0,0.0,161.28,4.0
buried-alive,2.0 (2003–2004),2.0,0.0,0.0,0.0,139.8715,7.5
buried-alive,3.0 (2009–2020),17.0,0.0,0.0,0.0,199.158,1.0
buried-alive,4.0 (2021–present),13.0,0.0,0.0,0.0,182.016,1.0
burn-that-bridge,3.0 (2009–2020),1.0,0.0,0.0,0.0,440.137,5.0
burning-down-the-house,1.0 (1983–2000),1.0,0.0,0.0,0.0,361.273,16.0
bye-bye-foot,1.0 (1983–2000),5.0,0.0,0.0,0.0,272.3,8.0
bye-bye-foot,3.0 (2009–2020),1.0,0.0,0.0,0.0,244.611,6.0
bye-bye-foot,4.0 (2021–present),1.0,0.0,0.0,0.0,229.146,3.0
california-love,1.0 (1983–2000),1.0,0.0,0.0,0.0,294.269,17.0
call-it-stormy-monday-but-tuesday-is-just-as-bad,1.0 (1983–2000),1.0,0.0,0.0,0.0,364.931,2.0
camel-walk,1.0 (1983–2000),28.0,0.0,0.0,0.0,323.21299999999997,11.0
camel-walk,2.0 (2003–2004),4.0,0.0,0.0,0.0,321.11,6.5
camel-walk,3.0 (2009–2020),28.0,0.0,0.0,0.0,329.966,4.5
camel-walk,4.0 (2021–present),6.0,0.3333333333333333,0.3333333333333333,0.0,324.236,4.5
can-t-always-listen,3.0 (2009–2020),2.0,0.0,0.0,0.0,360.111,6.5
can-t-you-hear-me-knocking,1.0 (1983–2000),4.0,0.25,0.25,0.0,519.693,6.0
cannonball,1.0 (1983–2000),1.0,0.0,0.0,0.0,348.97,19.0
caravan,1.0 (1983–2000),45.0,0.1111111111111111,0.0,0.0,424.45050000000003,13.0
carefree,1.0 (1983–2000),1.0,1.0,0.0,0.0,606.824,6.0
carini,1.0 (1983–2000),25.0,0.16,0.08,0.04,432.483,6.0
carini,2.0 (2003–2004),7.0,0.0,0.0,0.0,524.016,6.0
carini,3.0 (2009–2020),78.0,0.44871794871794873,0.10256410256410256,0.038461538461538464,574.4065,13.0
carini,4.0 (2021–present),42.0,0.5476190476190477,0.30952380952380953,0.11904761904761904,645.492,11.5
carini,Other/Hiatus,1.0,0.0,0.0,0.0,568.816,12.0
carolina,1.0 (1983–2000),81.0,0.024691358024691357,0.0,0.0,99.265,14.0
carolina,2.0 (2003–2004),1.0,0.0,0.0,0.0,255.242,18.0
carolina,3.0 (2009–2020),2.0,0.0,0.0,0.0,105.7565,1.0
carolina,4.0 (2021–present),1.0,0.0,0.0,0.0,93.288,17.0
cars-trucks-buses,1.0 (1983–2000),67.0,0.029850746268656716,0.029850746268656716,0.014925373134328358,249.704,5.0
cars-trucks-buses,2.0 (2003–2004),3.0,0.0,0.0,0.0,267.128,2.0
cars-trucks-buses,3.0 (2009–2020),11.0,0.0,0.0,0.0,372.428,2.0
cars-trucks-buses,4.0 (2021–present),8.0,0.0,0.0,0.0,336.5405,1.0
casino-boogie,3.0 (2009–2020),1.0,0.0,0.0,0.0,372.663,13.0
casual-enlightenment,4.0 (2021–present),3.0,0.0,0.0,0.0,387.336,9.0
catapult,1.0 (1983–2000),29.0,0.1724137931034483,0.06896551724137931,0.0,205.77949999999998,12.0
catapult,2.0 (2003–2004),3.0,0.0,0.0,0.0,233.352,5.0
catapult,3.0 (2009–2020),3.0,0.0,0.0,0.0,292.571,23.0
catapult,4.0 (2021–present),1.0,0.0,0.0,0.0,514.944,11.0
cathy-s-clown,3.0 (2009–2020),1.0,0.0,0.0,0.0,220.896,1.0
cavern,1.0 (1983–2000),364.0,0.04945054945054945,0.008241758241758242,0.0,282.34450000000004,11.0
cavern,2.0 (2003–2004),11.0,0.0,0.0,0.0,298.475,12.0
cavern,3.0 (2009–2020),88.0,0.03409090909090909,0.011363636363636364,0.011363636363636364,280.90125,13.0
cavern,4.0 (2021–present),24.0,0.0,0.0,0.0,282.34450000000004,10.0
cecilia,1.0 (1983–2000),1.0,0.0,0.0,0.0,131.056,18.0
chalk-dust-torture,1.0 (1983–2000),338.0,0.05917159763313609,0.011834319526627219,0.0,405.82550000000003,9.0
chalk-dust-torture,2.0 (2003–2004),18.0,0.3888888888888889,0.16666666666666666,0.1111111111111111,578.7170000000001,4.5
chalk-dust-torture,3.0 (2009–2020),125.0,0.272,0.152,0.04,476.421,11.0
chalk-dust-torture,4.0 (2021–present),48.0,0.4791666666666667,0.25,0.14583333333333334,580.326,12.0
chalk-dust-torture,Other/Hiatus,1.0,0.0,0.0,0.0,251.011,2.0
chalk-dust-torture-reprise,1.0 (1983–2000),3.0,0.0,0.0,0.0,189.72,22.0
chalk-dust-torture-reprise,3.0 (2009–2020),2.0,0.0,0.0,0.0,176.131,25.0
chalk-dust-torture-reprise,4.0 (2021–present),1.0,0.0,0.0,0.0,189.72,3.0
champagne-supernova,1.0 (1983–2000),1.0,0.0,0.0,0.0,111.177,20.0
character-zero,1.0 (1983–2000),96.0,0.09375,0.020833333333333332,0.010416666666666666,468.023,10.0
character-zero,2.0 (2003–2004),13.0,0.23076923076923078,0.0,0.0,485.198,15.0
character-zero,3.0 (2009–2020),111.0,0.02702702702702703,0.0,0.0,426.841,19.0
character-zero,4.0 (2021–present),40.0,0.05,0.0,0.0,404.6975,16.0
character-zero,Other/Hiatus,1.0,0.0,0.0,0.0,461.14,15.0
chariots-of-fire,2.0 (2003–2004),1.0,0.0,0.0,0.0,215.406,15.0
che-hun-ta-mo,1.0 (1983–2000),1.0,0.0,0.0,0.0,249.861,6.0
chocolate-rain,3.0 (2009–2020),1.0,0.0,0.0,0.0,180.611,1.0
choo-choo-ch-boogie,1.0 (1983–2000),1.0,0.0,0.0,0.0,330.227,25.0
cinnamon-girl,1.0 (1983–2000),3.0,0.0,0.0,0.0,276.245,17.0
cinnamon-girl,3.0 (2009–2020),1.0,0.0,0.0,0.0,293.956,21.0
cinnamon-girl,4.0 (2021–present),1.0,0.0,0.0,0.0,279.936,14.0
cities,1.0 (1983–2000),46.0,0.13043478260869565,0.06521739130434782,0.021739130434782608,418.038,11.0
cities,2.0 (2003–2004),5.0,0.0,0.0,0.0,381.127,6.0
cities,3.0 (2009–2020),49.0,0.12244897959183673,0.02040816326530612,0.0,414.192,5.0
cities,4.0 (2021–present),15.0,0.5333333333333333,0.2,0.0,677.064,8.0
clear-your-mind,4.0 (2021–present),4.0,0.0,0.0,0.0,424.296,6.5
clod,1.0 (1983–2000),11.0,0.0,0.0,0.0,301.4665,18.0
clone,2.0 (2003–2004),1.0,0.0,0.0,0.0,273.607,2.0
cocaine,1.0 (1983–2000),1.0,0.0,0.0,0.0,389.747,17.0
coconut,3.0 (2009–2020),1.0,0.0,0.0,0.0,150.152,17.0
cold-as-ice,1.0 (1983–2000),85.0,0.047058823529411764,0.011764705882352941,0.0,185.6,22.0
cold-rain-and-snow,1.0 (1983–2000),1.0,1.0,1.0,0.0,962.795,19.0
cold-water,3.0 (2009–2020),1.0,0.0,0.0,0.0,313.365,9.0
colonel-forbin-s-ascent,1.0 (1983–2000),119.0,0.2689075630252101,0.01680672268907563,0.0,441.2735,7.0
colonel-forbin-s-ascent,3.0 (2009–2020),8.0,0.25,0.0,0.0,361.417,4.0
colonel-forbin-s-ascent,4.0 (2021–present),2.0,0.0,0.0,0.0,505.5765,11.5
come-on-baby-let-s-go-downtown,1.0 (1983–2000),2.0,0.0,0.0,0.0,212.1535,3.5
come-on-part-one,1.0 (1983–2000),1.0,0.0,0.0,0.0,318.119,30.0
