venue_slug,song_slug,count_song_venue,count_venue,count_song,share_venue,share_global,affinity,affinity_log
fenway-park,destiny-unbound,1,64,56,0.015625,0.0014338385907414993,10.897321428571429,2.476313284744905
field-house-university-of-new-hampshire,destiny-unbound,1,74,56,0.013513513513513514,0.0014338385907414993,9.424710424710426,2.3441789902928827
firstmerit-bank-pavilion-at-northerly-island,destiny-unbound,1,120,56,0.008333333333333333,0.0014338385907414993,5.811904761904762,1.9186717817726961
gorge-amphitheatre,destiny-unbound,1,423,56,0.002364066193853428,0.0014338385907414993,1.6487673083417764,0.9740943651110752
gothic-theatre,destiny-unbound,2,51,56,0.0392156862745098,0.0014338385907414993,27.35014005602241,3.344631970409262
greenstreets,destiny-unbound,1,38,56,0.02631578947368421,0.0014338385907414993,18.353383458646615,2.962867259934318
international-beer-garden,destiny-unbound,1,46,56,0.021739130434782608,0.0014338385907414993,15.161490683229815,2.7826312940879876
lakeview-amphitheater,destiny-unbound,1,27,56,0.037037037037037035,0.0014338385907414993,25.83068783068783,3.2895463007353767
mabel-s,destiny-unbound,1,25,56,0.04,0.0014338385907414993,27.89714285714286,3.363742727156469
madison-square-garden,destiny-unbound,2,1798,56,0.0011123470522803114,0.0014338385907414993,0.7757826156046401,0.574241235954836
merriweather-post-pavilion,destiny-unbound,1,430,56,0.002325581395348837,0.0014338385907414993,1.6219269102990033,0.9639095093995844
mgm-grand-garden-arena,destiny-unbound,1,337,56,0.002967359050445104,0.0014338385907414993,2.069520983467571,1.1215215179811457
moon-palace,destiny-unbound,2,380,56,0.005263157894736842,0.0014338385907414993,3.6706766917293234,1.5413039630527783
music-farm,destiny-unbound,1,27,56,0.037037037037037035,0.0014338385907414993,25.83068783068783,3.2895463007353767
nassau-veterans-memorial-coliseum,destiny-unbound,1,128,56,0.0078125,0.0014338385907414993,5.448660714285714,1.86387246805125
nietzscheas,destiny-unbound,1,24,56,0.041666666666666664,0.0014338385907414993,29.05952380952381,3.4031795428661464
nikon-at-jones-beach-theater,destiny-unbound,1,178,56,0.0056179775280898875,0.0014338385907414993,3.918138041733547,1.5929300120730288
north-charleston-coliseum,destiny-unbound,3,266,56,0.011278195488721804,0.0014338385907414993,7.865735767991407,2.18219393303546
pickle-barrel-pub,destiny-unbound,1,27,56,0.037037037037037035,0.0014338385907414993,25.83068783068783,3.2895463007353767
ruoff-music-center,destiny-unbound,1,173,56,0.005780346820809248,0.0014338385907414993,4.031379025598679,1.615694106695402
sleep-train-amphitheatre,destiny-unbound,1,44,56,0.022727272727272728,0.0014338385907414993,15.850649350649352,2.82438919318636
state-theatre-of-ithaca,destiny-unbound,2,49,56,0.04081632653061224,0.0014338385907414993,28.466472303206995,3.3832530849087226
student-union-ballroom-university-of-massachusetts,destiny-unbound,1,41,56,0.024390243902439025,0.0014338385907414993,17.010452961672474,2.8909523094364182
telluride-town-park,destiny-unbound,1,43,56,0.023255813953488372,0.0014338385907414993,16.219269102990033,2.8460290534408306
the-agora-ballroom,destiny-unbound,1,22,56,0.045454545454545456,0.0014338385907414993,31.701298701298704,3.4874147927506085
the-barrel-house,destiny-unbound,1,33,56,0.030303030303030304,0.0014338385907414993,21.134199134199136,3.0971238845582056
the-cave-carleton-college,destiny-unbound,1,31,56,0.03225806451612903,0.0014338385907414993,22.497695852534562,3.156902367514696
the-front,destiny-unbound,2,614,56,0.003257328990228013,0.0014338385907414993,2.2717543043275943,1.1853263255566509
the-inferno,destiny-unbound,1,117,56,0.008547008547008548,0.0014338385907414993,5.960927960927962,1.9403127931785125
the-living-room,destiny-unbound,1,69,56,0.014492753623188406,0.0014338385907414993,10.107660455486544,2.4076350014122263
trax,destiny-unbound,2,143,56,0.013986013986013986,0.0014338385907414993,9.754245754245755,2.3753006304832427
verizon-wireless-amphitheatre-at-encore-park,destiny-unbound,1,251,56,0.00398406374501992,0.0014338385907414993,2.7785998861696073,1.329353540532062
watkins-glen-international,destiny-unbound,1,180,56,0.005555555555555556,0.0014338385907414993,3.874603174603175,1.5840387010552441
allstate-arena,dogs-stole-things,2,122,44,0.01639344262295082,0.0011265874641540352,14.55141579731744,2.7441516825396195
alpine-valley-music-theatre,dogs-stole-things,1,541,44,0.0018484288354898336,0.0011265874641540352,1.6407326499747943,0.9710563975868158
bader-field,dogs-stole-things,1,70,44,0.014285714285714285,0.0011265874641540352,12.68051948051948,2.615972885195605
brad-sands-s-and-pete-carini-s-house,dogs-stole-things,2,28,44,0.07142857142857142,0.0011265874641540352,63.4025974025974,4.16515396463545
bryce-jordan-center-penn-state-university,dogs-stole-things,1,36,44,0.027777777777777776,0.0011265874641540352,24.656565656565657,3.2447995098779923
first-union-spectrum,dogs-stole-things,1,51,44,0.0196078431372549,0.0011265874641540352,17.40463458110517,2.9126025123065373
gorge-amphitheatre,dogs-stole-things,3,423,44,0.0070921985815602835,0.0011265874641540352,6.295293359123146,1.9872293948910988
gte-virginia-beach-amphitheater,dogs-stole-things,1,55,44,0.01818181818181818,0.0011265874641540352,16.13884297520661,2.8413474065274364
hampton-coliseum,dogs-stole-things,2,430,44,0.004651162790697674,0.0011265874641540352,4.128541226215645,1.6348212573828471
la-laiterie,dogs-stole-things,1,20,44,0.05,0.0011265874641540352,44.38181818181819,3.8151115442568475
laaeronef,dogs-stole-things,1,22,44,0.045454545454545456,0.0011265874641540352,40.34710743801653,3.722002465891464
lake-tahoe-outdoor-arena-at-harveys,dogs-stole-things,1,122,44,0.00819672131147541,0.0011265874641540352,7.27570789865872,2.1133244642699256
lakewood-amphitheatre,dogs-stole-things,1,138,44,0.007246376811594203,0.0011265874641540352,6.432147562582346,2.005814856344346
loring-commerce-centre,dogs-stole-things,1,176,44,0.005681818181818182,0.0011265874641540352,5.043388429752066,1.7989648529493252
