song_slug,n,pct_ge_10,pct_ge_15,pct_ge_20,median_duration,median_position
faht,12.0,0.25,0.16666666666666666,0.0,248.35899999999998,17.5
family-picture,2.0,0.0,0.0,0.0,251.716,13.0
farmhouse,93.0,0.03225806451612903,0.0,0.0,362.24,9.0
fast-enough-for-you,79.0,0.05063291139240506,0.012658227848101266,0.0,401.0975,7.0
fat-man-in-the-bathtub,3.0,0.0,0.0,0.0,283.752,10.0
feats-don-t-fail-me-now,1.0,0.0,0.0,0.0,420.023,26.0
fee,288.0,0.0625,0.013888888888888888,0.006944444444444444,326.687,9.0
feel-the-heat,1.0,0.0,0.0,0.0,145.44,23.0
fikus,6.0,0.16666666666666666,0.0,0.0,209.9865,5.5
final-flight,1.0,0.0,0.0,0.0,266.24,7.0
fire,138.0,0.014492753623188406,0.007246376811594203,0.0,287.36,20.0
fire-on-the-mountain,2.0,0.0,0.0,0.0,518.0735,9.0
fire-up-the-ganja,1.0,1.0,1.0,0.0,916.088,3.0
first-tube,142.0,0.09154929577464789,0.007042253521126761,0.0,479.869,15.5
five-years,2.0,0.0,0.0,0.0,311.001,11.0
fixin-to-die,2.0,0.0,0.0,0.0,361.613,22.0
flat-fee,21.0,0.047619047619047616,0.0,0.0,179.8665,10.0
flatbed-truck-jam,1.0,1.0,0.0,0.0,819.043,30.0
fluff-s-travels,1.0,0.0,0.0,0.0,364.931,1.0
fluffhead,290.0,0.8310344827586207,0.2793103448275862,0.020689655172413793,869.616,12.0
fly-famous-mockingbird,141.0,0.07092198581560284,0.014184397163120567,0.0,382.041,8.0
fly-like-an-eagle,1.0,0.0,0.0,0.0,318.851,26.0
foam,355.0,0.10985915492957747,0.005633802816901409,0.0,506.331,3.0
foggy-mountain-breakdown,1.0,0.0,0.0,0.0,419.239,10.0
fooled-around-and-fell-in-love,1.0,0.0,0.0,0.0,253.048,17.0
foreplay-long-time,17.0,0.17647058823529413,0.0,0.0,431.282,20.0
four,1.0,0.0,0.0,0.0,364.931,5.0
four-strong-winds,1.0,0.0,0.0,0.0,267.546,11.0
frankenstein,94.0,0.02127659574468085,0.010638297872340425,0.0,302.72,16.0
frankie-says,32.0,0.125,0.03125,0.0,355.082,8.0
free,238.0,0.21428571428571427,0.04201680672268908,0.012605042016806723,518.322,9.0
free-bird,28.0,0.03571428571428571,0.0,0.0,268.225,21.0
free-man-in-paris,1.0,0.0,0.0,0.0,255.321,7.0
freeworld,1.0,0.0,0.0,0.0,219.037,12.0
friday,13.0,0.07692307692307693,0.0,0.0,488.176,15.0
friend,1.0,0.0,0.0,0.0,424.15,7.0
friends,2.0,0.0,0.0,0.0,290.35450000000003,8.5
frost,6.0,0.0,0.0,0.0,333.49199999999996,7.0
fuck-your-face,21.0,0.0,0.0,0.0,143.282,11.0
fuego,97.0,0.7525773195876289,0.20618556701030927,0.030927835051546393,677.4725,13.0
funky-bitch,237.0,0.0379746835443038,0.02531645569620253,0.0,388.663,6.0
funky-breakdown,1.0,1.0,0.0,0.0,809.456,21.0
further-on-up-the-road,1.0,0.0,0.0,0.0,501.198,1.0
garden-party,1.0,0.0,0.0,0.0,237.244,1.0
gaul-swerves-and-the-rest-is-everything-else,1.0,0.0,0.0,0.0,273.058,24.0
get-more-down,1.0,1.0,0.0,0.0,609.097,9.0
gettin-jiggy-wit-it,1.0,1.0,0.0,0.0,768.34,20.0
ghost,234.0,0.7692307692307693,0.32905982905982906,0.07264957264957266,749.7275,12.0
ghosts-of-the-forest,1.0,0.0,0.0,0.0,322.488,15.0
ginseng-sullivan,86.0,0.011627906976744186,0.0,0.0,224.405,7.0
girls-girls-girls,1.0,0.0,0.0,0.0,395.304,17.0
glass-onion,1.0,0.0,0.0,0.0,164.415,15.0
glide,118.0,0.0423728813559322,0.0,0.0,273.006,9.5
glide-ii,3.0,0.0,0.0,0.0,223.972,9.0
gloria,2.0,0.0,0.0,0.0,146.926,14.0
glory-days,1.0,0.0,0.0,0.0,405.864,14.0
goin-down-slow,3.0,0.0,0.0,0.0,274.79499999999996,17.0
gold-soundz,1.0,0.0,0.0,0.0,225.097,3.0
golden-age,85.0,0.7176470588235294,0.25882352941176473,0.07058823529411765,752.797,13.0
golden-lady,2.0,0.0,0.0,0.0,277.6945,4.5
golgi-apparatus,482.0,0.012448132780082987,0.0,0.0,288.026,11.0
gone,3.0,0.0,0.0,0.0,329.391,9.0
good-times-bad-times,230.0,0.02608695652173913,0.008695652173913044,0.0,351.843,19.0
goodbye-jam,1.0,0.0,0.0,0.0,63.843,5.0
got-my-mojo-working,1.0,0.0,0.0,0.0,280.059,5.0
gotta-jibboo,105.0,0.5523809523809524,0.0380952380952381,0.0,609.6455000000001,10.0
green-onions,1.0,0.0,0.0,0.0,364.931,23.0
grind,31.0,0.0,0.0,0.0,117.211,20.0
guelah-papyrus,212.0,0.009433962264150943,0.0,0.0,344.398,5.0
gumbo,124.0,0.1935483870967742,0.04838709677419355,0.0,360.385,6.0
guy-forget,4.0,0.5,0.5,0.25,624.7475,13.5
guyute,135.0,0.8740740740740741,0.007407407407407408,0.0,640.104,7.0
gypsy-queen,3.0,0.0,0.0,0.0,460.147,7.0
ha-ha-ha,34.0,0.029411764705882353,0.0,0.0,115.92,5.5
halfway-home,1.0,0.0,0.0,0.0,443.04,9.0
halfway-to-the-moon,55.0,0.03636363636363636,0.0,0.0,438.805,7.0
halley-s-comet,158.0,0.189873417721519,0.056962025316455694,0.02531645569620253,367.656,8.0
hang-on-to-yourself,1.0,0.0,0.0,0.0,273.946,20.0
happiness-is-a-warm-gun,2.0,0.0,0.0,0.0,160.2745,12.0
happy,1.0,0.0,0.0,0.0,261.878,19.0
happy-birthday-to-you,23.0,0.043478260869565216,0.0,0.0,133.94299999999998,10.0
harpua,86.0,0.4418604651162791,0.10465116279069768,0.023255813953488372,583.288,19.0
harry-hood,441.0,0.8412698412698413,0.19954648526077098,0.02947845804988662,781.087,17.0
have-mercy,17.0,0.058823529411764705,0.0,0.0,321.855,16.0
head-held-high,2.0,0.0,0.0,0.0,391.02700000000004,10.0
heart-and-soul,1.0,0.0,0.0,0.0,55.484,16.0
heartbreaker,2.0,0.5,0.0,0.0,514.4155000000001,15.0
heavy-rotation,3.0,0.0,0.0,0.0,353.933,4.0
heavy-things,102.0,0.0196078431372549,0.0196078431372549,0.0,356.702,6.0
hello-my-baby,57.0,0.08771929824561403,0.03508771929824561,0.017543859649122806,103.419,17.0
help-me,1.0,0.0,0.0,0.0,326.713,21.0
help-on-the-way,1.0,0.0,0.0,0.0,520.281,8.0
helpless,1.0,0.0,0.0,0.0,464.353,10.0
helpless-dancer,1.0,0.0,0.0,0.0,140.852,17.0
helter-skelter,2.0,0.0,0.0,0.0,211.174,18.0
hey-stranger,15.0,0.13333333333333333,0.0,0.0,496.944,6.0
hey-you,1.0,0.0,0.0,0.0,501.198,3.0
high-heel-sneakers,1.0,0.0,0.0,0.0,347.82,10.0
highway-to-hell,77.0,0.0,0.0,0.0,228.5845,21.0
hold-to-a-dream,1.0,0.0,0.0,0.0,186.671,9.0
hold-whatcha-got,1.0,0.0,0.0,0.0,297.143,17.0
hold-your-head-up,538.0,0.08736059479553904,0.01858736059479554,0.0055762081784386614,197.198,20.0
home,7.0,0.0,0.0,0.0,524.408,5.0
honey-pie,1.0,0.0,0.0,0.0,162.011,38.0
honky-tonk-women,2.0,0.0,0.0,0.0,537.9395,19.5
hoochie-coochie-man,2.0,0.0,0.0,0.0,497.4105,18.0
horn,177.0,0.01694915254237288,0.0,0.0,227.644,7.0
hotel-california,1.0,0.0,0.0,0.0,364.931,2.0
houses-in-motion,1.0,0.0,0.0,0.0,536.764,15.0
how-high-the-moon,6.0,0.0,0.0,0.0,259.3695,9.0
how-many-people-are-you,10.0,0.0,0.0,0.0,461.2575,5.5
human-nature,2.0,0.0,0.0,0.0,451.656,6.5
hurricane,1.0,0.0,0.0,0.0,541.649,2.0
i-always-wanted-it-this-way,23.0,0.5652173913043478,0.043478260869565216,0.043478260869565216,609.959,15.0
i-am-hydrogen,355.0,0.016901408450704224,0.0,0.0,173.688,13.0
i-am-in-miami,2.0,0.0,0.0,0.0,405.587,18.0
i-am-the-sea,1.0,0.0,0.0,0.0,211.461,10.0
i-am-the-walrus,9.0,0.0,0.0,0.0,425.587,14.0
i-been-around,9.0,0.0,0.0,0.0,145.344,11.0
i-been-to-georgia-on-a-fast-train,1.0,0.0,0.0,0.0,406.491,13.0
i-can-t-get-no-satisfaction,1.0,0.0,0.0,0.0,241.44,7.0
i-can-t-turn-you-loose,3.0,0.3333333333333333,0.0,0.0,461.53150000000005,13.0
i-didn-t-know,269.0,0.02973977695167286,0.011152416356877323,0.0037174721189591076,228.833,9.0
i-don-t-care,3.0,0.0,0.0,0.0,314.4225,11.0
i-found-a-reason,2.0,0.0,0.0,0.0,309.92999999999995,19.0
i-gave-my-love-a-cherry,1.0,0.0,0.0,0.0,446.537,8.0
i-get-a-kick-out-of-you,2.0,0.0,0.0,0.0,203.6115,8.5
i-just-want-to-see-his-face,1.0,0.0,0.0,0.0,435.566,22.0
i-kissed-a-girl,1.0,0.0,0.0,0.0,119.641,18.0
i-know-a-little,5.0,0.4,0.0,0.0,309.002,16.0
i-ll-come-running,2.0,0.0,0.0,0.0,212.323,13.0
i-m-blue-i-m-lonesome,31.0,0.0,0.0,0.0,177.058,9.0
i-m-gonna-be-500-miles,1.0,0.0,0.0,0.0,170.919,11.0
i-m-one,1.0,0.0,0.0,0.0,196.545,15.0
i-m-so-tired,2.0,0.0,0.0,0.0,358.0605,17.0
i-never-left-home,1.0,0.0,0.0,0.0,506.424,13.0
i-never-needed-you-like-this-before,14.0,0.07142857142857142,0.07142857142857142,0.0,360.05899999999997,5.0
i-shall-be-released,1.0,0.0,0.0,0.0,363.938,12.0
i-told-you-so,1.0,0.0,0.0,0.0,291.762,16.0
i-ve-got-you-under-my-skin,1.0,0.0,0.0,0.0,346.7235,13.0
